h 0	143.759	148
i	144.562	307
i	144.905	308
h 0	146.437	272
i	146.47	311
i	146.855	312
h 0	147.825	224
h 0	149.245	202
h 0	149.999	39
h 0	150.072	110
h 1	150.679	112
i	150.719	320
h 0	150.98	2
h 0	153.328	74
i	155.688	327
i	156.12	328
i	156.447	329
i	157.486	331
h 1	158.279	80
h 0	158.816	149
i	159.444	335
h 0	160.1	207
i	160.993	340
h 0	161.318	256
h 0	161.521	178
i	162.362	344
i	162.691	345
h 0	163.229	329
i	163.968	349
i	164.822	351
i	164.985	352
i	165.256	353
h 0	165.47	264
h 0	165.479	352
h 1	166.304	107
h 0	167.456	104
i	169.555	362
h 0	169.82	299
i	169.897	363
i	170.308	367
h 0	170.702	251
h 0	172.726	254
i	174.545	376
i	174.759	377
h 0	174.879	6
h 0	175.809	240
h 0	176.098	259
h 0	176.133	235
h 0	177.715	268
i	178.448	382
i	178.727	383
h 0	179.41	348
i	179.812	385
h 0	179.917	91
i	180.038	386
h 0	180.388	227
i	180.502	387
h 0	180.752	51
h 0	180.752	147
i	181.929	390
i	183.008	393
h 0	185.456	232
h 1	187.791	142
h 0	188.486	362
h 0	188.933	277
i	189.232	404
h 0	189.284	320
i	189.615	405
h 0	189.687	29
i	189.859	406
i	190.068	407
i	190.321	408
h 0	191.552	129
h 0	191.619	61
h 0	191.627	294
h 0	192.193	335
i	193.851	415
i	194.077	416
h 1	194.506	157
h 0	194.815	11
h 0	195.145	243
h 0	195.371	407
i	195.59	419
i	197.727	425
i	198.181	426
i	198.409	427
h 0	198.537	69
i	198.907	429
h 0	199.163	64
i	199.167	430
h 0	199.718	342
h 0	199.776	144
h 0	200.828	376
h 0	202.896	327
h 0	203.535	124
i	203.913	437
h 0	205.414	250
h 0	205.652	187
i	205.699	441
h 0	205.936	162
h 0	205.982	90
i	206.139	443
h 0	206.483	95
h 0	206.72	258
h 0	206.777	67
h 0	207.243	60
i	207.581	446
h 0	208.162	71
h 0	208.353	307
i	209.417	449
h 0	209.538	18
h 0	209.957	205
i	211.856	454
i	212.389	456
i	212.753	458
h 0	212.885	405
i	213.507	460
h 0	214.21	5
h 0	214.348	110
h 0	214.363	415
h 0	214.587	195
h 0	215.759	425
h 0	215.974	202
h 0	216.724	272
i	217.659	467
i	218.098	468
i	218.398	469
h 0	219.22	2
h 0	219.869	74
i	220.449	472
i	222.025	475
i	222.324	476
h 0	224.246	351
i	224.288	480
i	224.475	481
i	224.775	482
i	227.803	486
i	228.253	487
i	229.418	489
h 0	230.085	207
h 0	230.458	83
i	230.781	493
i	231.768	496
h 0	231.933	256
i	231.975	497
i	232.426	498
i	232.589	499
i	233.021	500
h 0	234.014	386
h 0	234.553	352
i	234.912	503
i	236.056	505
h 0	236.118	6
h 0	236.158	254
h 0	236.729	121
i	238.383	508
h 0	238.746	104
i	239.089	510
i	240.119	512
i	240.293	513
t 0	240.394	29
h 0	240.647	348
i	240.769	514
h 0	241.779	251
h 0	242.568	383
i	243.134	518
i	243.398	519
h 0	243.926	518
h 0	244.764	377
i	245.236	522
h 0	245.407	259
h 0	246.386	100
h 0	247.937	227
i	249.142	527
i	249.473	528
h 0	249.701	519
i	251.541	532
h 0	252.036	528
i	252.901	534
i	255.014	537
h 0	255.186	232
h 0	255.672	142
i	256.252	539
h 0	256.515	243
i	256.635	540
h 0	257.187	409
h 0	257.383	320
h 0	258.15	475
i	258.191	543
h 0	258.452	522
i	259.972	546
t 0	259.994	71
h 0	259.995	277
h 0	261.034	493
i	261.628	549
h 0	262.239	157
i	262.568	553
h 0	264.064	64
h 0	264.329	362
h 0	264.506	503
i	264.851	557
i	265.289	558
i	265.531	559
h 0	266.153	482
h 0	266.397	60
h 0	266.425	342
i	267.053	562
i	267.744	564
h 0	267.922	437
i	268.188	566
h 0	268.51	50
h 0	269.525	551
h 0	270.308	454
h 0	271.353	458
h 0	271.758	90
i	271.975	572
h 0	272.409	124
h 0	272.69	376
h 0	272.813	67
h 0	272.84	258
h 0	273.211	455
h 0	273.213	205
i	273.402	575
i	273.719	576
i	273.863	577
i	274.099	578
h 0	274.328	549
i	274.93	580
h 0	275.22	5
h 0	275.634	532
h 0	275.931	575
h 0	276.115	187
i	276.273	582
h 0	276.972	327
h 0	277.171	18
i	277.322	585
i	277.674	586
h 0	277.94	307
h 0	278.073	449
h 0	278.163	368
h 0	278.598	467
h 0	278.624	110
i	280.058	590
h 0	280.92	366
h 0	281.622	452
h 0	282.702	202
i	283.619	596
h 0	283.657	480
h 0	283.885	285
i	283.923	597
t 0	284.194	104
i	284.208	598
i	285.282	600
h 0	285.715	572
h 0	286.41	74
h 0	287.012	272
i	288.298	606
h 0	289.491	537
i	289.709	609
i	290.16	610
i	292.086	614
h 0	292.268	576
h 0	292.515	121
h 0	293.31	614
h 0	295.031	512
h 0	295.377	585
i	296.791	621
i	297.78	623
h 0	298.258	510
h 0	298.474	351
h 0	299.591	254
i	299.595	626
h 0	300.07	207
h 0	302.462	577
h 0	303.627	352
i	304.523	635
i	305.86	638
h 0	307.887	136
i	308.558	644
i	309.001	645
h 0	311.431	156
h 0	311.521	638
h 0	311.87	553
h 0	312.856	251
h 0	313.552	543
i	313.795	654
i	313.986	655
i	314.376	657
i	314.578	658
h 0	314.715	259
h 0	315.331	564
h 0	315.372	578
h 0	315.387	377
i	319.05	666
i	321.47	671
h 0	321.579	409
i	321.64	672
i	321.765	673
i	322.762	675
h 0	323.554	142
h 0	323.653	607
t 0	323.672	187
h 0	325.986	675
h 0	327.32	522
h 0	327.414	475
i	327.93	683
h 0	328.964	64
h 0	329.971	157
i	330.658	688
h 0	331.99	593
h 0	332.182	400
h 0	333.293	50
i	333.68	693
i	333.946	694
h 0	334.259	623
i	335.183	696
i	335.475	697
i	335.643	698
h 0	336.244	586
h 0	336.297	596
i	336.396	700
h 0	336.469	205
h 0	336.557	87
i	337.495	702
h 0	337.534	90
i	337.783	703
i	338.013	704
h 0	338.328	694
h 0	338.961	258
h 0	339.306	551
h 0	339.809	626
h 0	340.017	566
i	340.739	708
i	340.902	709
h 0	341.284	124
i	341.301	710
h 0	341.686	454
h 0	341.702	709
h 0	342.416	455
h 0	342.574	655
i	343.277	713
i	343.681	714
i	344.045	715
i	344.512	716
h 0	345.056	368
h 0	345.322	482
h 0	345.629	612
h 0	345.937	467
h 0	346.511	710
i	346.728	721
h 0	346.943	449
h 0	347	590
h 0	347.292	494
h 0	347.528	307
h 0	347.652	532
h 0	347.831	452
h 0	348.3	121
h 0	348.321	253
h 0	349.431	202
i	349.545	725
h 0	350.195	480
h 0	351.172	366
i	351.611	729
h 0	351.848	217
i	352.437	733
i	352.566	734
i	352.992	736
h 0	353.632	657
i	353.645	738
t 0	353.712	124
i	354.124	739
h 0	354.659	683
t 0	355.217	251
i	356.343	745
h 0	356.509	688
i	356.694	746
i	357.816	748
i	357.957	749
h 0	359.434	666
i	360.445	753
h 0	360.548	725
h 0	363.023	254
i	363.139	759
i	363.335	760
i	363.542	762
h 0	366.608	614
h 0	367.605	644
i	367.902	769
h 0	368.161	510
i	368.613	771
h 0	368.633	702
i	369.811	773
h 0	370.848	577
h 0	371.413	136
h 0	372.701	352
i	372.742	778
h 0	373.051	745
i	374.29	781
i	376.121	784
h 0	376.409	733
i	377.982	788
i	379.111	790
h 0	379.238	241
h 0	380.113	673
i	380.121	792
i	380.546	795
h 0	380.651	543
i	381.482	798
h 0	381.579	109
i	382.712	800
h 0	383.159	788
i	384.08	804
i	385.752	807
h 0	386.01	377
h 0	386.231	553
h 0	387.427	715
h 0	388.28	753
i	388.423	811
i	389.426	813
h 0	390.049	607
i	390.203	815
h 0	391.435	142
i	392.162	818
i	392.963	820
i	393.452	823
h 0	393.751	756
i	394.373	825
h 0	395.456	440
i	395.5	827
h 0	396.358	87
i	397.508	831
i	397.668	832
h 0	397.704	157
h 0	397.725	825
i	398.013	833
h 0	398.075	50
i	399.395	835
i	399.669	836
h 0	399.725	205
h 0	400.021	698
h 0	401.088	784
h 0	401.513	748
i	401.515	840
h 0	401.663	675
h 0	401.685	193
i	402.344	842
h 0	402.885	832
i	403.423	844
h 0	403.584	623
h 0	405.042	389
h 0	405.081	258
h 0	406.929	494
h 0	407.162	713
h 0	407.525	823
h 0	407.933	234
h 0	409.012	655
h 0	409.087	551
i	409.244	854
i	409.548	855
h 0	409.649	253
h 0	411.094	612
h 0	411.246	396
h 0	411.518	626
h 0	411.561	709
i	411.88	859
h 0	411.949	368
i	412.048	860
i	412.187	861
h 0	413.064	454
h 0	413.104	729
i	413.191	863
h 0	413.277	467
i	413.556	864
h 0	414.04	452
h 0	414.103	727
h 0	415.813	449
h 0	416.159	202
i	416.213	869
h 0	416.724	590
h 0	416.734	480
i	417.118	871
i	417.255	872
h 0	418.797	771
h 0	419.6	217
i	419.614	876
h 0	419.669	532
h 0	420.612	175
i	420.96	879
h 0	421.424	366
t 0	421.593	377
i	422.988	883
h 0	422.991	778
h 0	424.092	793
i	424.17	885
i	424.477	887
i	424.699	889
t 0	424.844	258
h 0	426.455	254
i	427.726	895
h 0	428.128	869
h 0	429.808	859
i	430.502	899
h 0	430.994	666
i	433.687	906
h 0	434.939	136
h 0	435.138	820
i	435.607	909
h 0	436.19	813
h 0	437.136	804
h 0	438.62	795
h 0	439.068	644
h 0	439.234	577
h 0	439.293	801
i	440.126	915
i	441.444	917
i	443.685	922
i	443.882	923
h 0	445.066	798
i	445.191	926
i	445.373	927
i	446.646	929
h 0	446.867	844
i	448.348	932
h 0	448.439	733
h 0	449.623	241
i	449.785	935
i	450.987	937
i	454.955	945
i	455.371	947
h 0	455.449	864
i	455.796	948
t 0	456.476	449
i	457.854	952
i	458.882	955
h 0	460.235	833
h 0	461.094	676
i	461.542	960
h 0	461.759	756
h 0	461.777	662
h 0	461.885	234
i	461.976	961
h 0	462.858	50
h 0	463.539	868
i	465.269	967
i	465.606	968
i	466.051	969
i	466.387	971
h 0	466.481	836
h 0	466.565	494
i	467.225	973
i	467.405	974
i	467.545	975
h 0	467.79	973
i	469.189	979
h 0	469.519	832
i	469.665	980
h 0	470.648	873
h 0	470.977	253
h 0	470.996	698
i	471.518	984
h 0	471.652	748
i	471.904	985
h 0	472.536	960
h 0	472.91	623
t 0	473.156	532
h 0	474.093	396
h 0	474.171	860
i	474.278	989
i	475.221	991
i	476.415	993
h 0	476.558	612
i	476.89	995
h 0	476.982	883
i	477.732	997
i	477.853	998
i	478.279	999
h 0	478.667	947
h 0	478.868	551
h 0	479.063	989
i	479.52	1001
i	479.812	1002
i	480.035	1003
h 0	480.616	467
h 0	480.948	929
h 0	480.99	175
h 0	481.42	709
i	481.649	1006
i	483.025	1009
h 0	483.227	626
h 0	483.273	480
h 0	483.607	837
h 0	483.756	906
i	484.9	1012
i	485.187	1013
h 0	485.566	871
i	485.624	1014
h 0	485.766	729
i	485.872	1015
h 0	485.891	740
h 0	486.192	1006
h 0	486.449	590
h 0	487.072	1012
h 0	487.198	793
h 0	487.351	217
i	487.79	1019
i	487.981	1020
i	488.203	1021
h 0	488.312	717
i	488.424	1022
h 0	488.584	771
